,stature,weightkg,chestcircumference,waistcircumference
831,1576,548,906,762
832,1720,650,908,860
833,1701,700,906,867
834,1620,580,815,793
835,1670,738,952,928
836,1630,478,775,672
837,1636,583,815,785
838,1714,849,956,916
839,1702,732,927,854
840,1590,609,855,778
841,1643,654,900,771
842,1769,832,946,897
843,1549,591,882,822
844,1533,695,973,935
845,1592,609,848,828
846,1609,650,903,841
847,1569,550,815,754
848,1586,659,883,865
849,1574,701,902,827
850,1617,689,930,887
851,1589,607,866,836
852,1679,736,931,917
853,1700,564,826,739
854,1623,566,847,779
855,1677,681,857,775
856,1598,660,920,860
857,1625,536,784,700
858,1685,647,840,812
859,1685,776,1025,908
860,1623,563,794,733
861,1674,675,945,904
862,1653,604,890,814
863,1587,542,957,872
864,1595,664,1008,980
865,1563,744,998,1046
866,1674,621,909,841
867,1439,585,982,824
868,1718,810,1018,955
869,1589,511,796,717
870,1645,717,1112,964
871,1677,607,913,758
872,1552,591,884,829
873,1523,636,1073,999
874,1612,715,1012,941
875,1642,574,917,776
876,1732,716,979,822
877,1600,540,877,752
878,1409,426,824,716
879,1620,585,889,759
880,1746,828,960,898
881,1688,740,983,852
882,1606,765,976,920
883,1658,852,1029,1047
884,1590,671,915,904
885,1781,760,922,875
886,1690,695,992,850
887,1654,754,1015,987
888,1583,663,945,870
889,1523,480,843,743
890,1685,830,1096,910
891,1672,756,974,964
892,1641,784,1032,934
893,1644,594,882,780
894,1597,766,1013,951
895,1732,678,899,795
896,1529,517,847,815
897,1620,662,953,848
898,1643,665,993,797
899,1556,613,897,927
900,1630,729,1015,986
901,1614,701,924,884
902,1464,426,737,673
903,1749,729,962,810
904,1618,761,998,933
905,1631,719,937,995
906,1704,794,1004,966
907,1669,705,924,874
908,1586,727,1023,1013
909,1602,609,887,735
910,1620,800,950,1072
911,1575,625,917,834
912,1513,768,1052,1065
913,1573,578,868,818
914,1649,639,861,828
915,1657,749,980,945
916,1538,650,945,900
917,1684,633,857,831
918,1550,526,885,822
919,1630,766,994,1021
920,1693,934,1202,1157
921,1557,667,982,861
922,1627,622,882,765
923,1666,942,1208,1085
924,1599,641,930,880
925,1547,692,985,1012
926,1636,646,922,831
927,1547,525,889,797
928,1629,490,792,762
929,1560,749,997,922
930,1751,852,1051,1035
931,1625,772,908,1012
932,1573,643,964,864
933,1599,722,980,962
934,1547,693,972,914
935,1735,737,921,862
936,1670,725,1003,957
937,1678,816,1035,897
938,1604,570,863,812
939,1631,660,939,865
940,1684,804,980,1054
941,1715,852,1030,973
942,1635,662,1035,947
943,1666,706,933,902
944,1705,577,860,782
945,1629,526,873,755
946,1718,808,976,990
947,1626,834,1003,972
948,1616,750,951,922
949,1602,619,924,895
950,1667,675,966,885
951,1645,702,1022,910
952,1670,659,947,827
953,1621,712,941,840
954,1721,1028,1066,1032
955,1606,759,1091,903
956,1567,659,953,875
957,1720,644,904,790
958,1639,689,900,875
959,1730,863,1013,983
960,1682,949,1147,1139
961,1720,630,874,792
962,1783,1069,1214,1133
963,1641,639,893,881
964,1568,683,902,907
965,1640,630,940,850
966,1556,718,989,945
967,1647,874,1033,1069
968,1630,752,995,920
969,1587,852,1154,1095
970,1627,827,1172,1039
971,1638,559,870,765
972,1644,821,1110,1042
973,1603,663,982,880
974,1713,638,897,811
975,1721,799,966,987
976,1573,589,838,793
977,1619,761,996,918
978,1524,672,1006,1040
979,1605,541,882,803
980,1617,697,1035,838
981,1601,616,895,878
982,1703,852,1053,1040
983,1574,582,882,785
984,1596,742,1036,943
985,1602,609,876,800
986,1599,690,964,916
987,1632,675,935,961
988,1660,886,1098,1065
989,1568,652,924,847
990,1639,826,1032,1020
991,1591,556,923,790
992,1628,719,934,887
993,1615,822,1077,975
994,1680,965,1098,1100
995,1590,624,907,896
996,1563,435,726,660
997,1641,753,1090,1021
998,1710,553,836,790
999,1566,578,901,816
1000,1573,713,1023,966
1001,1669,776,980,966
1002,1607,655,976,809
1003,1633,578,922,787
1004,1699,843,1126,907
1005,1638,670,892,877
1006,1634,764,1000,878
1007,1660,663,864,734
1008,1604,671,880,861
1009,1693,706,980,885
1010,1595,636,936,820
1011,1694,646,882,796
1012,1626,658,934,835
1013,1613,789,1021,922
1014,1614,585,887,769
1015,1630,589,900,812
1016,1716,785,1035,973
1017,1510,676,1013,952
1018,1639,862,1100,1113
1019,1576,605,981,907
1020,1677,950,1095,1068
1021,1669,649,985,843
1022,1592,616,884,755
1023,1606,715,1030,910
1024,1597,765,1012,943
1025,1610,652,890,819
1026,1811,773,878,905
1027,1639,734,1028,1018
1028,1635,549,825,757
1029,1751,802,1041,893
1030,1626,695,1023,849
1031,1688,647,949,768
1032,1588,657,914,850
1033,1635,871,1111,1090
1034,1624,580,855,835
1035,1634,796,1015,946
1036,1749,761,929,852
1037,1646,576,925,741
1038,1600,870,1129,1060
1039,1600,766,1008,1017
1040,1517,548,845,782
